"anemone","Actinia tenebrosa"
"jellyfish","Aurelia aurita"
"earthworm","Lumbricus terrestris"
"leech","Hirudo medicinalis"
"snail","Helix pomatia"
"mussel","Mytilus edulis"
"sea clam","Spisula solidissima"
"cuttlefish","Sepia officinalis"
"tiger prawn","Penaeus monodon"
"lobster","Homarus gammarus"
"black widow","Latrodectus tredecimguttatus"
"cockroach","Periplaneta americana"
"grasshopper","Schistocerca americana"
"locust","Schistocerca gregaria"
"stick bug","Carausius morosus"
"firefly","Nipponoluciola cruciata"
"silkworm","Bombyx mori"
"mosquito","Aedes aegypti"
"fruit fly","Drosophila melanogaster"
"house fly","Musca domestica"
"hornet","Vespa crabro"
"honey bee","Apis mellifera"
"praying mantis","Mantis religiosa"
"starfish","Asterias rubens"
"sea urchin","Strongylocentrotus droebachiensis"
"tiger shark","Galeocerdo cuvier"
"coelacanth","Latimeria chalumnae"
"goldfish","Carassius auratus"
"carp","Cyprinus carpio"
"catfish","Ictalurus punctatus"
"electric eel","Electrophorus electricus"
"trout","Oncorhynchus mykiss"
"salmon","Salmo salar"
"cod","Gadus morhua"
"anglerfish","Lophius piscatorius"
"guppy","Poecilia reticulata"
"tuna","Thunnus albacares"
"swordfish","Xiphias gladius"
"axolotl","Ambystoma mexicanum"
"toad","Bufo bufo"
"bullfrog","Aquarana catesbeiana"
"snapping turtle","Chelydra serpentina"
"alligator","Alligator mississippiensis"
"crocodile","Crocodylus porosus"
"iguana","Iguana iguana"
"gila monster","Heloderma suspectum"
"boa constrictor","Boa constrictor"
"black mamba","Dendroaspis polylepis"
"king cobra","Ophiophagus hannah"
"sea snake","Hydrophis platurus"
"viper","Cerastes cerastes"
"rattlesnake","Crotalus atrox"
"emu","Dromaius novaehollandiae"
"ostrich","Struthio camelus"
"duck","Anas platyrhynchos"
"goose","Branta canadensis"
"swan","Cygnus olor"
"condor","Vultur gryphus"
"falcon","Falco peregrinus"
"chicken","Gallus gallus"
"pheasant","Lophura bulweri"
"peacock","Pavo cristatus"
"turkey","Meleagris gallopavo"
"blackbird","Turdus merula"
"emperor penguin","Aptenodytes forsteri"
"platypus","Ornithorhynchus anatinus"
"echidna","Tachyglossus aculeatus"
"opossum","Didelphis marsupialis"
"tasmanian devil","Sarcophilus harrisii"
"kangaroo","Osphranter rufus"
"possum","Pseudocheirus peregrinus"
"hedgehog","Erinaceus europaeus"
"mole","Talpa europaea"
"vampire bat","Desmodus rotundus"
"lemur","Lemur catta"
"macaque","Macaca fuscata"
"mandrill","Mandrillus sphinx"
"gorilla","Gorilla gorilla"
"bonobo","Pan paniscus"
"chimpanzee","Pan troglodytes"
"orangutan","Pongo abelii"
"human","Homo sapiens"
"wolf","Canis lupus"
"coyote","Canis latrans"
"red fox","Vulpes vulpes"
"black bear","Ursus americanus"
"brown bear","Ursus arctos"
"giant panda","Ailuropoda melanoleuca"
